Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2012-05-31,33.01444444444444,33.8688888888889,31.057777777777776,31.870200000000004,139057022.2222222,0.0,1.0,33.01444444444444,33.8688888888889,31.057777777777776,31.870200000000004,139057022.2222222
2012-06-30,29.536523809523818,30.23232380952381,28.89309523809524,29.540190476190485,31805261.904761903,0.0,1.0,29.536523809523818,30.23232380952381,28.89309523809524,29.540190476190485,31805261.904761903
2012-07-31,29.143095238095242,29.597857142857134,28.43761428571428,28.879333333333335,24770938.095238097,0.0,1.0,29.143095238095242,29.597857142857134,28.43761428571428,28.879333333333335,24770938.095238097
2012-08-31,20.28717391304348,20.644782608695653,19.76869565217391,20.107891304347824,50084560.86956522,0.0,1.0,20.28717391304348,20.644782608695653,19.76869565217391,20.107891304347824,50084560.86956522
2012-09-30,20.62894736842105,21.089615789473683,20.170657894736845,20.628052631578953,55718089.473684214,0.0,1.0,20.62894736842105,21.089615789473683,20.170657894736845,20.628052631578953,55718089.473684214
2012-10-31,20.82452380952381,21.079523809523813,20.39222857142857,20.61909523809524,52425633.333333336,0.0,1.0,20.82452380952381,21.079523809523813,20.39222857142857,20.61909523809524,52425633.333333336
2012-11-30,22.60047619047619,23.271428571428572,22.24047619047619,22.886185714285716,72737628.57142857,0.0,1.0,22.60047619047619,23.271428571428572,22.24047619047619,22.886185714285716,72737628.57142857
2012-12-31,27.201995,27.674,26.683749999999996,27.131400000000003,59591610.0,0.0,1.0,27.201995,27.674,26.683749999999996,27.131400000000003,59591610.0
2013-01-31,30.187619047619044,30.831252380952385,29.77,30.331833333333336,79802461.90476191,0.0,1.0,30.187619047619044,30.831252380952385,29.77,30.331833333333336,79802461.90476191
2013-02-28,28.26315789473685,28.59894736842105,27.732105263157887,28.087710526315785,50402094.7368421,0.0,1.0,28.26315789473685,28.59894736842105,27.732105263157887,28.087710526315785,50402094.7368421
2013-03-31,26.88005,27.248070000000002,26.4529,26.806075000000003,36359025.0,0.0,1.0,26.88005,27.248070000000002,26.4529,26.806075000000003,36359025.0
2013-04-30,26.588404545454537,27.01818636363636,26.218409090909088,26.60786363636364,33568600.0,0.0,1.0,26.588404545454537,27.01818636363636,26.218409090909088,26.60786363636364,33568600.0
2013-05-31,26.351149999999997,26.632000000000005,25.914590909090904,26.143113636363637,44640672.72727273,0.0,1.0,26.351149999999997,26.632000000000005,25.914590909090904,26.143113636363637,44640672.72727273
2013-06-30,23.982249999999997,24.297999999999995,23.65575,23.943700000000003,39416575.0,0.0,1.0,23.982249999999997,24.297999999999995,23.65575,23.943700000000003,39416575.0
2013-07-31,27.728381818181823,28.21808181818182,27.390000000000008,27.91099999999999,65364413.63636363,0.0,1.0,27.728381818181823,28.21808181818182,27.390000000000008,27.91099999999999,65364413.63636363
2013-08-31,38.70068181818181,39.285000000000004,38.23568636363636,38.74813636363636,61136095.45454545,0.0,1.0,38.70068181818181,39.285000000000004,38.23568636363636,38.74813636363636,61136095.45454545
2013-09-30,45.53825,46.31399999999999,44.90175,45.76200000000001,79154190.0,0.0,1.0,45.53825,46.31399999999999,44.90175,45.76200000000001,79154190.0
2013-10-31,50.672826086956505,51.51326086956522,49.71099130434783,50.510521739130446,88375434.7826087,0.0,1.0,50.672826086956505,51.51326086956522,49.71099130434783,50.510521739130446,88375434.7826087
2013-11-30,47.57525,48.425,46.64825,47.378,67865595.0,0.0,1.0,47.57525,48.425,46.64825,47.378,67865595.0
2013-12-31,52.284523809523805,53.17095238095238,51.575238095238106,52.57019047619048,72263485.71428572,0.0,1.0,52.284523809523805,53.17095238095238,51.575238095238106,52.57019047619048,72263485.71428572
2014-01-31,56.96095238095237,57.84857619047619,55.99692857142858,56.92795238095238,61653085.71428572,0.0,1.0,56.96095238095237,57.84857619047619,55.99692857142858,56.92795238095238,61653085.71428572
2014-02-28,66.12105263157896,67.21682631578949,65.23421052631578,66.37047368421052,58461794.7368421,0.0,1.0,66.12105263157896,67.21682631578949,65.23421052631578,66.37047368421052,58461794.7368421
2014-03-31,67.72761904761904,68.41523809523811,66.12517142857142,67.09308571428572,59782857.14285714,0.0,1.0,67.72761904761904,68.41523809523811,66.12517142857142,67.09308571428572,59782857.14285714
2014-04-30,59.969999999999985,61.03599047619047,58.258961904761904,59.60662857142858,89743876.1904762,0.0,1.0,59.969999999999985,61.03599047619047,58.258961904761904,59.60662857142858,89743876.1904762
2014-05-31,60.003333333333345,60.9909523809524,59.20380952380951,60.08713809523808,53340738.0952381,0.0,1.0,60.003333333333345,60.9909523809524,59.20380952380951,60.08713809523808,53340738.0952381
2014-06-30,64.65857142857142,65.46026666666668,64.03380952380952,64.84659999999998,41050842.85714286,0.0,1.0,64.65857142857142,65.46026666666668,64.03380952380952,64.84659999999998,41050842.85714286
2014-07-31,69.07522727272728,69.84885909090912,68.15567727272727,69.03065000000001,46621795.45454545,0.0,1.0,69.07522727272728,69.84885909090912,68.15567727272727,69.03065000000001,46621795.45454545
2014-08-31,73.84333333333332,74.46524285714287,73.39118571428571,73.9686238095238,28075842.85714286,0.0,1.0,73.84333333333332,74.46524285714287,73.39118571428571,73.9686238095238,28075842.85714286
2014-09-30,76.97857142857141,77.96510952380952,76.23419047619048,77.2754761904762,34273242.952380955,0.0,1.0,76.97857142857141,77.96510952380952,76.23419047619048,77.2754761904762,34273242.952380955
2014-10-31,76.44543478260871,77.44775652173912,75.44130434782609,76.53717391304347,47114925.0,0.0,1.0,76.44543478260871,77.44775652173912,75.44130434782609,76.53717391304347,47114925.0
2014-11-30,74.82526315789474,75.52315263157892,74.10947368421051,74.89526315789473,25843055.157894738,0.0,1.0,74.82526315789474,75.52315263157892,74.10947368421051,74.89526315789473,25843055.157894738
2014-12-31,77.71090909090908,78.60409090909091,76.96499999999999,77.68522727272727,24304102.227272727,0.0,1.0,77.71090909090908,78.60409090909091,76.96499999999999,77.68522727272727,24304102.227272727
2015-01-31,77.028,77.69317500000001,75.888205,76.72100000000002,27302883.05,0.0,1.0,77.028,77.69317500000001,75.888205,76.72100000000002,27302883.05
2015-02-28,76.86242105263159,77.70947368421052,76.12894736842107,76.95105263157896,25007821.52631579,0.0,1.0,76.86242105263159,77.70947368421052,76.12894736842107,76.95105263157896,25007821.52631579
2015-03-31,80.89727272727274,81.76840454545453,80.23272727272727,81.01249999999999,26152272.59090909,0.0,1.0,80.89727272727274,81.76840454545453,80.23272727272727,81.01249999999999,26152272.59090909
2015-04-30,82.31380952380951,83.07523809523812,81.52190476190478,82.08976190476193,25815451.333333332,0.0,1.0,82.31380952380951,83.07523809523812,81.52190476190478,82.08976190476193,25815451.333333332
2015-05-31,79.4715,80.14247499999999,78.789005,79.41975,21093535.45,0.0,1.0,79.4715,80.14247499999999,78.789005,79.41975,21093535.45
2015-06-30,82.98045454545455,83.88227272727273,82.37924090909091,83.2834090909091,24452582.727272727,0.0,1.0,82.98045454545455,83.88227272727273,82.37924090909091,83.2834090909091,24452582.727272727
2015-07-31,92.01045454545454,92.93066363636362,90.85721818181818,92.05477272727275,35944606.09090909,0.0,1.0,92.01045454545454,92.93066363636362,90.85721818181818,92.05477272727275,35944606.09090909
2015-08-31,91.84142857142858,93.37190476190476,90.25779047619048,91.77857142857142,33798598.047619045,0.0,1.0,91.84142857142858,93.37190476190476,90.25779047619048,91.77857142857142,33798598.047619045
2015-09-30,91.4,92.49976190476191,90.27333333333334,91.43809523809526,30195472.19047619,0.0,1.0,91.4,92.49976190476191,90.27333333333334,91.43809523809526,30195472.19047619
2015-10-31,96.66318181818184,97.8372727272727,95.7085909090909,97.12954545454545,25999618.181818184,0.0,1.0,96.66318181818184,97.8372727272727,95.7085909090909,97.12954545454545,25999618.181818184
2015-11-30,106.1105,107.051395,104.8355,105.96874999999997,27359991.1,0.0,1.0,106.1105,107.051395,104.8355,105.96874999999997,27359991.1
2015-12-31,105.47704545454545,106.45091363636362,104.29499999999997,105.37499999999999,20021809.272727273,0.0,1.0,105.47704545454545,106.45091363636362,104.29499999999997,105.37499999999999,20021809.272727273
2016-01-31,99.20052631578949,100.57420526315788,96.98190000000001,98.9821052631579,41721531.578947365,0.0,1.0,99.20052631578949,100.57420526315788,96.98190000000001,98.9821052631579,41721531.578947365
2016-02-29,106.00699999999999,107.88104000000001,104.0165,105.921,43707631.75,0.0,1.0,106.00699999999999,107.88104000000001,104.0165,105.921,43707631.75
2016-03-31,110.5490909090909,111.58904090909091,109.56559545454546,110.7804545454545,23688361.954545453,0.0,1.0,110.5490909090909,111.58904090909091,109.56559545454546,110.7804545454545,23688361.954545453
2016-04-30,112.18309523809523,113.13640476190477,110.6107761904762,111.9342857142857,35314946.0,0.0,1.0,112.18309523809523,113.13640476190477,110.6107761904762,111.9342857142857,35314946.0
2016-05-31,118.34047619047617,119.20105238095238,117.37255714285718,118.4647619047619,21931427.904761903,0.0,1.0,118.34047619047617,119.20105238095238,117.37255714285718,118.4647619047619,21931427.904761903
2016-06-30,115.37613636363636,116.80791818181818,114.45409090909092,115.27863636363637,20507065.545454547,0.0,1.0,115.37613636363636,116.80791818181818,114.45409090909092,115.27863636363637,20507065.545454547
2016-07-31,119.09450000000001,120.05499999999998,117.95200000000003,119.16749999999999,23505423.65,0.0,1.0,119.09450000000001,120.05499999999998,117.95200000000003,119.16749999999999,23505423.65
2016-08-31,124.35608695652172,125.07313043478261,123.70558260869564,124.46913043478263,15898735.347826088,0.0,1.0,124.35608695652172,125.07313043478261,123.70558260869564,124.46913043478263,15898735.347826088
2016-09-30,128.32285714285715,129.2187619047619,127.58431904761905,128.51333333333335,17932479.19047619,0.0,1.0,128.32285714285715,129.2187619047619,127.58431904761905,128.51333333333335,17932479.19047619
2016-10-31,129.83190476190478,130.5167380952381,128.968019047619,129.7095238095238,14918312.523809524,0.0,1.0,129.83190476190478,130.5167380952381,128.968019047619,129.7095238095238,14918312.523809524
2016-11-30,121.25169523809527,122.34592857142859,119.22969047619047,120.68476190476188,31171529.76190476,0.0,1.0,121.25169523809527,122.34592857142859,119.22969047619047,120.68476190476188,31171529.76190476
2016-12-31,118.20309523809523,119.1098095238095,117.10656666666667,118.04190476190476,19463255.14285714,0.0,1.0,118.20309523809523,119.1098095238095,117.10656666666667,118.04190476190476,19463255.14285714
2017-01-31,126.2385,127.41,125.49533499999998,126.81750000000002,18950240.2,0.0,1.0,126.2385,127.41,125.49533499999998,126.81750000000002,18950240.2
2017-02-28,133.63881578947368,134.62043684210528,132.78700000000003,133.83052631578946,20247401.315789472,0.0,1.0,133.63881578947368,134.62043684210528,132.78700000000003,133.83052631578946,20247401.315789472
2017-03-31,139.14521739130436,139.97619999999998,138.60976086956518,139.40826086956525,14873853.56521739,0.0,1.0,139.14521739130436,139.97619999999998,138.60976086956518,139.40826086956525,14873853.56521739
2017-04-30,142.8284210526316,143.67466842105264,142.14520000000002,142.96526315789473,14385824.263157895,0.0,1.0,142.8284210526316,143.67466842105264,142.14520000000002,142.96526315789473,14385824.263157895
2017-05-31,150.32704545454544,151.12181818181818,149.25734545454546,150.23409090909092,17728933.681818184,0.0,1.0,150.32704545454544,151.12181818181818,149.25734545454546,150.23409090909092,17728933.681818184
2017-06-30,152.1127272727273,153.26365454545453,150.49125454545455,152.0809090909091,18441160.59090909,0.0,1.0,152.1127272727273,153.26365454545453,150.49125454545455,152.0809090909091,18441160.59090909
2017-07-31,160.1655,161.665625,158.841,160.5325,20145554.55,0.0,1.0,160.1655,161.665625,158.841,160.5325,20145554.55
2017-08-31,169.08565217391305,170.11260869565217,167.86173913043476,169.15913043478264,12931684.217391305,0.0,1.0,169.08565217391305,170.11260869565217,167.86173913043476,169.15913043478264,12931684.217391305
2017-09-30,170.767,171.79044000000002,169.18899999999996,170.58499999999998,15023582.55,0.0,1.0,170.767,171.79044000000002,169.18899999999996,170.58499999999998,15023582.55
2017-10-31,173.39545454545456,174.49568181818188,172.19045454545457,173.30681818181822,14083493.590909092,0.0,1.0,173.39545454545456,174.49568181818188,172.19045454545457,173.30681818181822,14083493.590909092
2017-11-30,179.644,180.76413499999998,178.31600000000003,179.70350000000002,16149375.1,0.0,1.0,179.644,180.76413499999998,178.31600000000003,179.70350000000002,16149375.1
2017-12-31,177.50449999999998,178.94551,176.04750499999997,177.41649999999998,15425291.4,0.0,1.0,177.50449999999998,178.94551,176.04750499999997,177.41649999999998,15425291.4
2018-01-31,184.3647619047619,186.21095238095236,182.92475714285715,184.96285714285713,22139037.095238097,0.0,1.0,184.3647619047619,186.21095238095236,182.92475714285715,184.96285714285713,22139037.095238097
2018-02-28,180.7215789473684,183.1314052631579,177.75664210526315,180.3342052631579,26203673.52631579,0.0,1.0,180.7215789473684,183.1314052631579,177.75664210526315,180.3342052631579,26203673.52631579
2018-03-31,175.56000000000003,178.01302631578946,172.40684210526314,175.2857894736842,45451677.315789476,0.0,1.0,175.56000000000003,178.01302631578946,172.40684210526314,175.2857894736842,45451677.315789476
